metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.0,9.044044496698923e-05,Low Concentration,60k,,,,,,,,,,,,
roc,0.0,0.00027132133490096773,Low Concentration,60k,,,,,,,,,,,,
roc,0.00012501562695336918,0.00027132133490096773,Low Concentration,60k,,,,,,,,,,,,
roc,0.00012501562695336918,0.0004522022248349462,Low Concentration,60k,,,,,,,,,,,,
roc,0.00037504688086010754,0.0004522022248349462,Low Concentration,60k,,,,,,,,,,,,
roc,0.00037504688086010754,0.0005426426698019355,Low Concentration,60k,,,,,,,,,,,,
roc,0.0006250781347668458,0.0005426426698019355,Low Concentration,60k,,,,,,,,,,,,
roc,0.0006250781347668458,0.0006330831147689246,Low Concentration,60k,,,,,,,,,,,,
roc,0.0008751093886735842,0.0006330831147689246,Low Concentration,60k,,,,,,,,,,,,
roc,0.0008751093886735842,0.0007235235597359139,Low Concentration,60k,,,,,,,,,,,,
roc,0.0010001250156269534,0.0007235235597359139,Low Concentration,60k,,,,,,,,,,,,
roc,0.0010001250156269534,0.0009044044496698924,Low Concentration,60k,,,,,,,,,,,,
roc,0.0011251406425803225,0.0009044044496698924,Low Concentration,60k,,,,,,,,,,,,
roc,0.0011251406425803225,0.0009948448946368817,Low Concentration,60k,,,,,,,,,,,,
roc,0.0015001875234404302,0.0009948448946368817,Low Concentration,60k,,,,,,,,,,,,
roc,0.0015001875234404302,0.0013566066745048385,Low Concentration,60k,,,,,,,,,,,,
roc,0.002250281285160645,0.0013566066745048385,Low Concentration,60k,,,,,,,,,,,,
roc,0.002250281285160645,0.0014470471194718277,Low Concentration,60k,,,,,,,,,,,,
roc,0.0023752969121140144,0.0014470471194718277,Low Concentration,60k,,,,,,,,,,,,
roc,0.0023752969121140144,0.001537487564438817,Low Concentration,60k,,,,,,,,,,,,
roc,0.0037504688086010753,0.001537487564438817,Low Concentration,60k,,,,,,,,,,,,
roc,0.0037504688086010753,0.0016279280094058063,Low Concentration,60k,,,,,,,,,,,,
roc,0.004000500062507814,0.0016279280094058063,Low Concentration,60k,,,,,,,,,,,,
roc,0.004000500062507814,0.0017183684543727955,Low Concentration,60k,,,,,,,,,,,,
roc,0.004875609451181397,0.0017183684543727955,Low Concentration,60k,,,,,,,,,,,,
roc,0.004875609451181397,0.0018088088993397848,Low Concentration,60k,,,,,,,,,,,,
roc,0.005000625078134767,0.0018088088993397848,Low Concentration,60k,,,,,,,,,,,,
roc,0.005000625078134767,0.001899249344306774,Low Concentration,60k,,,,,,,,,,,,
roc,0.005375671958994874,0.001899249344306774,Low Concentration,60k,,,,,,,,,,,,
roc,0.005375671958994874,0.0019896897892737633,Low Concentration,60k,,,,,,,,,,,,
roc,0.006125765720715089,0.0019896897892737633,Low Concentration,60k,,,,,,,,,,,,
roc,0.006125765720715089,0.002170570679207742,Low Concentration,60k,,,,,,,,,,,,
roc,0.006500812601575197,0.002170570679207742,Low Concentration,60k,,,,,,,,,,,,
roc,0.006500812601575197,0.0023514515691417204,Low Concentration,60k,,,,,,,,,,,,
roc,0.0075009376172021506,0.0023514515691417204,Low Concentration,60k,,,,,,,,,,,,
roc,0.0075009376172021506,0.0024418920141087096,Low Concentration,60k,,,,,,,,,,,,
roc,0.008501062632829104,0.0024418920141087096,Low Concentration,60k,,,,,,,,,,,,
roc,0.008501062632829104,0.0025323324590756984,Low Concentration,60k,,,,,,,,,,,,
roc,0.00900112514064258,0.0025323324590756984,Low Concentration,60k,,,,,,,,,,,,
roc,0.00900112514064258,0.002713213349009677,Low Concentration,60k,,,,,,,,,,,,
roc,0.009376172021502687,0.002713213349009677,Low Concentration,60k,,,,,,,,,,,,
roc,0.009376172021502687,0.0028036537939766662,Low Concentration,60k,,,,,,,,,,,,
roc,0.009501187648456057,0.0028036537939766662,Low Concentration,60k,,,,,,,,,,,,
roc,0.009501187648456057,0.0028940942389436555,Low Concentration,60k,,,,,,,,,,,,
roc,0.010251281410176272,0.0028940942389436555,Low Concentration,60k,,,,,,,,,,,,
roc,0.010251281410176272,0.0029845346839106448,Low Concentration,60k,,,,,,,,,,,,
